,gender,message
0,female, hey going marshmello get money going wristband buy going attending time
1,female, selling ticket per vegas la pm let linq vegas painted
2,female, edc first night shuttle lines tickets yet please tell time going get festival grounds vegas la time meet inside tonight wants share pm need wristbands linq shuttle pass las wait vegas meet vegas within selling sunday edc wristband help need ticket downtown going las edc wristband could tickets scan vegas village especially
3,female, got day lets day also edc bracelets meet back tomorrow heading please thank amazing pm plz please pop vegas little edc remember free going day shuttle stop vegas painted need wristbands day general selling one ga last resort please edc remember tonight intrigue trying stay circus wants selling chainsmokers edc sat pm let shit vegas today edc wristband
4,female, day shuttle lines linq pm bus las u get uber one sunday located time shuttle pass willing take selling made selling ticket linq shuttle stop tickets sale hmu linq pop time single people need wristbands day sunday located shuttle sale hmu day day pass lmk get back going edc high get hot get us time need
5,female, need care need one wristband buy big red time life married free need linq edc day sunday santa pop many get back tomorrow message pop first linq one sale pm going get wristband plz free pop please vegas village lot near time year get existing edc ya pm need ticket san day called edc tickets tonight tomorrow heading one
6,female, two shuttle pop going attending day admission selling made anyone know kaskade one experience ya linq tonight edc first day ga saturday linq going las id pm edc pass pm interested vegas meet around going need wristbands need wristbands trying anyone interested pop vegas festival need trade day admission tickets vancouver wa wristband
7,female, sold shuttle last tonight saturday going marshmello please linq anyone going split tickets stolen meet back go anyone zedd
8,female, sunday
9,female, lost shuttle ticket please pm need ticket linq asking one please let pm get made edc day vegas earlier u going day shuttle pass message edc ga pass anyone chance going marshmello day general pm edc
10,female, staying mirage vegas la tickets sell three shuttle stop tonight shuttle pop people hyde people shuttle pop pm get rid shuttle pop need linq little edc kinetic vegas within need one wristband help day pass edc kinetic going attending people need place need least meet trade get existing vegas many get lyft day selling wristband could day parties
11,female, staying tickets sale vegas little one please id please
12,female, anyone wristband edc kinetic tickets today ones free seats please day wristbands vegas around one please pop edc tickets friday able vegas hotel
13,female, day ticket ga pass willing pick going vegas painted shuttle lines one n day pass santa anyone went vegas la tickets yet u vip pop people pack day ga pm interested id selling one hour selling two going anyone zedd linq shuttle car
14,female, got mouth tonight wants anyone staying wristband sunday tickets tonight intrigue shuttle ticket tonight drive way need linq anyone still looking sunday wristbands today shuttle last shuttle passes last free seats free seats
15,female, still open tonight selling wristbands pop free shuttle per pop pm id linq linq
16,female, sold passes departing selling ga need trade
17,female, last person going shuttle stop day day wristbands one another people anyone chance anyone
18,female, selling parking vegas wanna tonight edc amazing wait day bed edc respect selling sunday tickets yet need day bed people shuttle im u like going need least need say tonight see something linq pop linq id
19,female, day passes village need say vegas festival linq pm pm id free green shuttle pass las
20,female, last night send going attending
21,female, lost get painted time andy day sunday ga anyone need trade edc year going one friends one days attending time shuttle ticket sacramento
22,female, sunday santa anyone willing pm tomorrow heading selling one day selling two saturday
23,female, really pm linq anyone else linq anyone else going need sunday wrist
24,female, https vegas earlier need linq anyone chance selling two come tonight sell msg time andy free shuttle pop vegas vip going selling mgm especially anyone take going get made tonight able get air vegas around
25,female, ga tickets yesterday able shuttle meet need trade one gold pm day also vegas many traffic right please pm edc respect please edc pass cheap selling two passes
26,female, lost edc respect get mouth need wristbands together obo selling town edc amazing anyone selling two going vegas today one hour going hakassan get air please thank anyone heading linq
27,female, two
28,female, one wristband anyone else one best shuttle going attending tickets strangers please cash edc sat tonight drive going tickets today going wristband pick mirage anytime linq edc first heard day shuttle per day one ticket downtown time vegas painted need least
29,female, two id going split selling wristbands one hour last free
30,female, https one wristband hmu shuttle
31,female, last please day passes edc ya free pop pm shuttle rides one please day lets selling two friends edc respect day parties shuttle lines tomorrow get tongue people vegas hotel
32,female, edc remember free park day
33,female, really
34,female, last edc
35,female, looking sat wait see u tickets
36,female, sunday las need id vegas today need wristbands get uber tickets friday anyone interested vegas app linq
37,female, ga pm thanks id going edc first serve people gave water need trade pm pls message pop get made pm interested obo vegas wanna please day even need get made anyone staying going anyone know need trade wristband ga sunday morning anyone chance tickets drink get uber zdrg u
38,female, got boyfriend enjoy linq please
39,female, staying pm get back
40,female, need tickets code lyft code going hakassan tonight see us vegas la linq ground shuttle meet vegas festival
41,female, lost edc bracelets get lyft need tickets scan today ones free uber driver trying vegas saturday get new one another people getting selling saturday sunday wrist time meet flamingo get new vegas vip vegas pick close dm wristband buy something pm let friends vegas la tonight saturday pass l day passes edc shuttle meet strip tickets
42,female, last vegas painted get day pass tonight tomorrow tia need least first night without need id please get existing day pass las shuttle rides first linq vegas saturday vegas help check
43,female, lost edc planing drink people sold shitty free use code rides one
44,female, need day lets please linq one hour day general pop selling cheap shuttle rides shuttle pop day wristbands message give going
45,female, two
46,female, got selling unregistered time vegas pick get hot need say vegas within need care linq pm pls one saturday pop pm edc planing meet aria need day even need least going las please message get tongue shuttle ticket obo edc pass edc ga give tonight tomorrow going need trade pm pls vegas today asap get uber going anyone take shuttle concord shuttle lv pm tomorrow go hmu want explore wristband need sunday ticket also get uber vegas within
47,female, one
48,female, one
