gender,message
female,Insomniac released a statement about the man's death !
male,How many people got scammed this weekend?????
male,"Idk about yall, but to me the best set was Allison Wonderland b2b Diplo b2b JAUZ. Also JoyRide KILLED IT! That shit was Doooope! What was yalls favorite set and why?"
female,Did you all know Kaskade performed at EDC yesterday? <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> effff
female,"https://www.facebook.com/jushonti.giberson/posts/1549856111732232MY 1st edc and this crazy shit happens <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3><ed><U+00A0><U+00BD><ed><U+00B8><U+00B3><ed><U+00A0><U+00BD><ed><U+00B8><U+00B3>"
male,Bruh! <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3> ... i hope it didn't hurt that bad!
female,I had a blast being Link on day 2. 70% called me Zelda tho <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
male,I feel bad for everyone still in line for the shuttles.
male,https://m.facebook.com/story.php?story_fbid=2817492714940436&id=146505212039213 some of us after EDC 2017
female,"One of the best time of my life !!! See you next year under the electronic sky<ed><U+00A0><U+00BE><ed><U+00B6><U+0089><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BE><ed><U+00B6><U+0089><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>"
male,"Hey guys if any of you took some videos of a big group of us doing double tripple even quad light shows please post the videos we would love to see it! We all had the green lights in our gloves! Dakota Outspoken Balthrop, Branson Outspoken Balthrop, and Jenn Marie! This is my light show crew tag us all in your videos! Thank u guys this was our first year at EDC and we loved you all!Thanks for changing our lives EDC family! <ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+009B><U+2764><ed><U+00A0><U+00BC><ed><U+00BC><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+00BC><ed><U+00A0><U+00BC><ed><U+00BD><U+0084><ed><U+00A0><U+00BC><ed><U+00BC><U+00BA><U+2728>"
male,Anyone driving to phx sometime today or tomorrow? Ride somehow left yesterday <ed><U+00A0><U+00BE><ed><U+00B4><U+0094> I swear it's not because I was knocked tf out <ed><U+00A0><U+00BD><ed><U+00B9><U+0083>
